id,bid,user_id,用户昵称,微博正文,头条文章url,发布位置,艾特用户,话题,转发数,评论数,点赞数,发布时间,发布工具,微博图片url,微博视频url,retweet_id,ip,user_authentication,会员类型,会员等级
5233370806092747,Qe07Spz07,1651575113,主持人朱大庆,#王曼昱4比0陈梦#两个都喜欢，谁都行！为鳗鱼高兴！,,青岛,,王曼昱4比0陈梦,0,0,0,2025-11-15 22:18,iPhone客户端,,,,,普通用户,非会员,0
5233370780146478,Qe07Q0C6y,6350531810,Saturdayyu,#王曼昱4比0陈梦#这俩人都很喜欢！恭喜曼昱！,,,,王曼昱4比0陈梦,0,0,0,2025-11-15 22:18,iPhone客户端,,,,,普通用户,非会员,0
5233370768610103,Qe07OA7SD,7710304971,艾奇迹鱼鱼,#王曼昱4比0陈梦#王曼昱4-0陈梦（局分：11-4、12-10、11-3、11-9），总耗时约40分钟。第二局陈梦一度追至10平，但关键分处理不及王曼昱；第三局王曼昱完全掌控节奏，仅让陈梦得3分；第四局陈梦从5-8落后追至9平，但王曼昱凭借主动进攻锁定胜局,,,,王曼昱4比0陈梦,0,0,0,2025-11-15 22:18,所愿皆成真,,,,,红V,超级会员,1
5233370768607109,Qe07OA76l,5532932498,飛羽badminton,#王曼昱4比0陈梦#我对所有还留在黑龙江籍贯的运动员都十分尊敬现实的情况就是经济不好类似赵睿那种篮球运动员跑去广州队效力所以真心祝福王曼昱前途一片顺畅加油吧,,,,王曼昱4比0陈梦,0,0,0,2025-11-15 22:18,iPhone客户端,,,,,普通用户,非会员,0
5233370759175561,Qe07NCuYV,6160955149,用户6160955149,#王曼昱4比0陈梦#陈梦心态崩了,,,,王曼昱4比0陈梦,0,0,0,2025-11-15 22:18,vivo X100,,,,,普通用户,非会员,0
5233370712776278,Qe07JbEeG,7925238849,Kiku_绒萌祎兔町y,#王曼昱4比0陈梦#有这个勇气就超级棒哪有什么绝对的我觉得陈梦也超厉害王曼昱就更不用说了,,,,王曼昱4比0陈梦,0,0,0,2025-11-15 22:17,,,,,,黄V,会员,3
5233370709888644,Qe07IFuug,1848674007,关筱橙,#王曼昱4比0陈梦#恭喜王曼昱，决赛加油，干就完了！！,,,,王曼昱4比0陈梦,0,0,0,2025-11-15 22:17,HUAWEI Pura 70,,,,,普通用户,非会员,0
5233370708841150,Qe07IB5Zc,5333888729,Attenderand,#王曼昱4比0陈梦#决赛见！,,,,王曼昱4比0陈梦,0,0,0,2025-11-15 22:17,微博轻享版,,,,,普通用户,非会员,0
5233370680267974,Qe07G17Ia,6797429040,用户6797429040,#王曼昱4比0陈梦#上一届也是半决赛4比0，还是在东奥之后不久比的呢。,,,,王曼昱4比0陈梦,0,0,0,2025-11-15 22:17,微博搜索,,,,,普通用户,非会员,0
5233370667419120,Qe07Ev83e,7766665443,百万负婆FUPO,#王曼昱4比0陈梦#王曼昱在全运会乒乓球女单半决赛中4-0横扫陈梦，连续两届晋级决赛。整场比赛耗时约35分钟，王曼昱反手拧拉得分率高达83%。四年前全运会半决赛王曼昱同样击败陈梦，总交手记录王曼昱16胜13负占优，近三次对决全胜。陈梦巴黎奥运会后因伤休养9个月，2025年7月才恢复训练，体能仅恢复至巅峰期90%，但1/4决赛曾逆转蒯曼。王曼昱技术升级，心态策略得当。赛场上王曼昱反手压制、接发球主动、体能分配佳；陈梦则步伐迟滞、前三板控制力下降。赛后两人互相致敬，气氛友好。舆论有球迷争论，也有中立观点肯定这场对决。王曼昱将于11月16日决赛对阵孙颖莎，若夺冠将成为近20年首位卫冕全运会女单冠军的选手，陈梦将出战铜牌赛冲击个人首枚全运单打奖牌。这场比赛体现了王曼昱的技术成熟和陈梦的逆境回归，诠释了乒乓竞技的魅力。,,,,王曼昱4比0陈梦,0,0,0,2025-11-15 22:17,誉博见过的iPhone 14 Pro,,,,,红V,超级会员,1
