id,bid,user_id,用户昵称,微博正文,头条文章url,发布位置,艾特用户,话题,转发数,评论数,点赞数,发布时间,发布工具,微博图片url,微博视频url,retweet_id,ip,user_authentication,会员类型,会员等级
5233367018642605,Qe01LAgkR,7761679243,不要偷我蔡包,蔡徐坤超话#蔡徐坤#cxk#原创音乐制作人蔡徐坤#＂我在日落时看见了光在光里看见了你＂𝘪𝘴𝘢𝘸𝘵𝘩𝘦𝘭𝘪𝘨𝘩𝘵𝘢𝘵𝘴𝘶𝘯𝘴𝘦𝘵𝘢𝘯𝘥𝘪𝘴𝘢𝘸𝘺𝘰𝘶𝘪𝘯𝘵𝘩𝘦𝘭𝘪𝘨𝘩𝘵.@蔡徐坤,,,蔡徐坤,"蔡徐坤,原创音乐制作人蔡徐坤",0,0,0,2025-11-15 22:03,蔡徐坤超话,,,,,普通用户,非会员,0
5233367014705935,Qe01LjKeb,7899559612,许愿芒果82,由你榜！！#蔡徐坤新歌whataday#,,,,蔡徐坤新歌what a day,0,0,0,2025-11-15 22:03,iPhone 12,,,,,普通用户,会员,2
5233367001073620,Qe01K4vis,7908667185,蔡蔡-葵葵,WhataDay-蔡徐坤WhataDay-蔡徐坤我的点评：#蔡徐坤歌曲WhataDay##巅峰潮流榜超会评#蔡徐坤超话,,,,"蔡徐坤歌曲What a Day,巅峰潮流榜超会评",0,0,0,2025-11-15 22:03,蔡徐坤超话,,,,,普通用户,会员,2
5233367012610989,Qe01LaXeJ,7935817788,幼萌丸,"☆*.🎸蔡徐坤超话☆*.🎸『欢迎收看坤坤大王＆蓓蓓の幸福日记』🖤丨#蔡徐坤新歌whataday#🖤丨#蔡徐坤歌曲whataday#♡‧₊𓏵""不去迎合市场，自由的做自己，自然会有好作品""♡‧₊𓏵“我心上悬挂着的月，自要做我笔下的青山，岁月漫长，此爱绵绵”🎀+°☆.«*.˙♩.🎀+°☆.«*.˙♩.+°🎀ᐅII||II||II||II″请你听首歌.▸🎧︎KJasmineᜊოყ  ხαხყᜊ@蔡徐坤",,,蔡徐坤,"蔡徐坤新歌whataday,蔡徐坤歌曲what a day",0,0,0,2025-11-15 22:03,蔡徐坤超话,"https://wx2.sinaimg.cn/large/008F3SJ6gy1i7d90elsaxj31900u00xv.jpg,https://wx1.sinaimg.cn/large/008F3SJ6gy1i7d90f1x3zj31900u07am.jpg,https://wx1.sinaimg.cn/large/008F3SJ6gy1i7d90fjeswj31900u0wkv.jpg",,,,普通用户,会员,3
5233366903297986,Qe01AdPXk,6887599600,清忧醉,蔡徐坤周边中转站超话得物蔡徐坤专辑是正品吗,,,,,0,0,0,2025-11-15 22:02,蔡徐坤周边中转站超话,,,,,普通用户,非会员,0
5233366962017126,Qe01G8sKi,7872328166,ks秦丞夕,#原创音乐制作人蔡徐坤#cxk#蔡徐坤歌曲deadman#cxk#蔡徐坤ins#cxk“花在骄阳下盛开我的爱永远为你而敞开.”𝓕𝓵𝓸𝔀𝓮𝓻𝓼𝓫𝓵𝓸𝓸𝓶𝓲𝓷𝓽𝓱𝓮𝓱𝓸𝓽𝓼𝓾𝓷.𝓜𝔂𝓵𝓸𝓿𝓮𝔀𝓲𝓵𝓵𝓪𝓵𝔀𝓪𝔂𝓼𝓫𝓵𝓸𝓸𝓶𝓯𝓸𝓻𝔂𝓸𝓾.@蔡徐坤,,,蔡徐坤,"原创音乐制作人蔡徐坤,蔡徐坤歌曲deadman,蔡徐坤ins",0,0,0,2025-11-15 22:03,蔡徐坤超话,https://wx1.sinaimg.cn/large/008ALuaWgy1i7d908a3j0j30u00u0tbx.jpg,,,,普通用户,非会员,0
5233366926365058,Qe01CqHQe,7928176393,August天使猫,蔡徐坤超话cxk#原创音乐制作人蔡徐坤#如果你的出现是为了缝补我破碎的心我想我会掉眼泪的@蔡徐坤,,,蔡徐坤,原创音乐制作人蔡徐坤,0,1,0,2025-11-15 22:02,蔡徐坤超话,https://wx3.sinaimg.cn/large/008ExOQNgy1i7d902jiofj30tw18wq6i.jpg,,,,普通用户,会员,2
5233366886781093,Qe01yss4t,7295159975,对角线狮子YL_,WhataDay-蔡徐坤WhataDay-蔡徐坤我的点评：#蔡徐坤歌曲WhataDay##巅峰潮流榜超会评#蔡徐坤超话闪耀律动，颅内high翻。蔡徐坤携复古新曲《WhataDay》华丽来袭！跃动鼓点随着心跳一起迸发，开启循环一整个冬天！,,,,"蔡徐坤歌曲What a Day,巅峰潮流榜超会评",0,0,0,2025-11-15 22:02,蔡徐坤超话,,,,,普通用户,非会员,0
5233366897262683,Qe01zutm3,7872328166,ks秦丞夕,#原创音乐制作人蔡徐坤#cxk#蔡徐坤歌曲deadman#cxk#蔡徐坤ins#cxk“花在骄阳下盛开我的爱永远为你而敞开.”𝓕𝓵𝓸𝔀𝓮𝓻𝓼𝓫𝓵𝓸𝓸𝓶𝓲𝓷𝓽𝓱𝓮𝓱𝓸𝓽𝓼𝓾𝓷.𝓜𝔂𝓵𝓸𝓿𝓮𝔀𝓲𝓵𝓵𝓪𝓵𝔀𝓪𝔂𝓼𝓫𝓵𝓸𝓸𝓶𝓯𝓸𝓻𝔂𝓸𝓾.@蔡徐坤,,,蔡徐坤,"原创音乐制作人蔡徐坤,蔡徐坤歌曲deadman,蔡徐坤ins",0,2,0,2025-11-15 22:02,蔡徐坤超话,https://wx4.sinaimg.cn/large/008ALuaWgy1i7d8zxts1fj30u01340vq.jpg,,,,普通用户,非会员,0
5233366850864927,Qe01v3D0r,7935817788,幼萌丸,"☆*.🎸蔡徐坤超话☆*.🎸『欢迎收看坤坤大王＆蓓蓓の幸福日记』🖤丨#蔡徐坤歌曲whataday#🖤丨#蔡徐坤boneless全球代言人#♡‧₊𓏵“前路终将坦荡，旅途终将灿烂，世事终将无虞，我们终将安好""♡‧₊𓏵""我的光,不应该被世俗的眼光所困惑""🎀+°☆.«*.˙♩.🎀+°☆.«*.˙♩.+°🎀ᐅII||II||II||II″请你听首歌.▸🎧︎KJasmineᜊოყ  ხαხყᜊ@蔡徐坤",,,蔡徐坤,"蔡徐坤歌曲what a day,蔡徐坤boneless全球代言人",0,1,0,2025-11-15 22:02,蔡徐坤超话,"https://wx2.sinaimg.cn/large/008F3SJ6gy1i7d8zqdh9gj30u0190dl3.jpg,https://wx3.sinaimg.cn/large/008F3SJ6gy1i7d8zqqvm9j31900u0dk7.jpg,https://wx4.sinaimg.cn/large/008F3SJ6gy1i7d8zr3uu7j30u0190q81.jpg",,,,普通用户,会员,3
5233368688231620,Qe04syxq4,7645048415,许欢kun,WhataDay-蔡徐坤WhataDay-蔡徐坤我的点评：#蔡徐坤新歌WhataDay#cxk#原创音乐制作人蔡徐坤#当时尚回溯经典，当音乐重回卡带。@蔡徐坤全新单曲《WhataDay》以毫不妥协的复古质感，成为引领当下音乐潮流的一股清流。,,,蔡徐坤,"蔡徐坤新歌WhataDay,原创音乐制作人蔡徐坤",0,0,0,2025-11-15 22:09,蔡徐坤超话,,,,,普通用户,非会员,0
5233368686925557,Qe04st3Ex,6591586958,西瓜超甜吖,分享视频歌手：蔡徐坤《WhataDay》LWhataDay@QQ音乐,,,QQ音乐,,0,0,0,2025-11-15 22:09,微博视频号,,http:https://c.y.qq.com/base/fcgi-bin/fcg_pyq_mv.fcg?vid=004V85Xl1KNnJe&type=hd&code=fd92e&tag=691889ad,,,普通用户,非会员,0
5233368662808420,Qe04qbMB6,7586271394,eat卷心菜,蔡徐坤周边出收站超话出现象专辑裸专,,,,,0,0,0,2025-11-15 22:09,蔡徐坤周边出收站超话,,,,,普通用户,非会员,0
5233368677745464,Qe04rwuWQ,6087607277,吃囗舒蔡,#蔡徐坤马吉拉香氛身体护理代言人#cxk#蔡徐坤avia全球品牌代言人#哪有资格骄傲，哪有时间骄傲，你骄傲的时间，人家在加紧练习，一晃就把你比下去了。@蔡徐坤,,,蔡徐坤,"蔡徐坤马吉拉香氛身体护理代言人,蔡徐坤avia全球品牌代言人",0,0,0,2025-11-15 22:09,蔡徐坤超话,https://wx1.sinaimg.cn/large/006DYYK9gy1i7d97bb7euj30qo0rsjsv.jpg,,,,普通用户,非会员,0
5233368602254511,Qe04k9sv5,7647188735,-恶魔小天使-,蔡徐坤《WhataDay》KWhataDay@QQ音乐,,,QQ音乐,,0,0,0,2025-11-15 22:09,Android,,,,,普通用户,非会员,0
5233368636588538,Qe04nrDYK,6087607277,吃囗舒蔡,"#蔡徐坤范思哲全球品牌代言人#cxk#原创音乐制作人蔡徐坤#“不同蔷薇，你可是明艳从不凋零的玫瑰.”𝒅𝒊𝒇𝒇𝒆𝒓𝒆𝒏𝒕𝒓𝒐𝒔𝒆𝒔,𝒚𝒐𝒖𝒂𝒓𝒆𝒂𝒃𝒓𝒊𝒈𝒉𝒕𝒓𝒐𝒔𝒆𝒕.@蔡徐坤",,,蔡徐坤,"蔡徐坤范思哲全球品牌代言人,原创音乐制作人蔡徐坤",0,0,0,2025-11-15 22:09,蔡徐坤超话,https://wx4.sinaimg.cn/large/006DYYK9gy1i7d974y6z7j30xc17ojta.jpg,,,,普通用户,非会员,0
5233368619817083,Qe04lFbS3,2240084862,心儿千千_,#蔡徐坤新歌WhataDay#,,,,蔡徐坤新歌WhataDay,0,0,0,2025-11-15 22:09,iPhone客户端,"https://wx4.sinaimg.cn/large/8584fb7egy1i7d96o4mwyj20tz1sltg6.jpg,https://wx3.sinaimg.cn/large/8584fb7egy1i7d96np1gnj20tz1sjn4w.jpg",,,,普通用户,非会员,0
5233368582063323,Qe04i8ELp,7554995276,蔡真的很好吃的,WhataDay-蔡徐坤WhataDay-蔡徐坤我的点评：#蔡徐坤歌曲WhataDay##巅峰潮流榜超会评#蔡徐坤超话,,,,"蔡徐坤歌曲What a Day,巅峰潮流榜超会评",0,0,0,2025-11-15 22:09,蔡徐坤超话,,,,,普通用户,非会员,0
5233368589407137,Qe04iDte1,6087607277,吃囗舒蔡,#蔡徐坤##蔡徐坤新歌spotlight#｜🦁#蔡徐坤新歌rideordie#🐱#原创制作人蔡徐坤“你是我褪去新鲜感仍然心动的人”Iloveyou@蔡徐坤,,,蔡徐坤,"蔡徐坤,蔡徐坤新歌spotlight,蔡徐坤新歌rideordie",0,0,0,2025-11-15 22:09,蔡徐坤超话,https://wx4.sinaimg.cn/large/006DYYK9gy1i7d96yjg7yj30jw0s075p.jpg,,,,普通用户,非会员,0
