conference,year_target,year_dblp,title,venue,authors,doi,ee_url,dblp_key,categories,is_pretrain,is_self_supervised,is_segmentation,is_detection,is_classification,is_generation,is_reconstruction,is_registration,is_tracking,is_pose,is_video,is_three_d,is_multimodal,is_fewshot,is_semi_supervised,is_domain_adaptation,is_robustness,is_graph,is_rl,is_transformer,is_medical,is_autonomous_driving,is_nlp,is_other
CVPR,2021,2021,Wasserstein Contrastive Representation Distillation.,CVPR,Liqun Chen 0001; Dong Wang 0037; Zhe Gan; Jingjing Liu 0001; Ricardo Henao; Lawrence Carin,10.1109/CVPR46437.2021.01603,https://openaccess.thecvf.com/content/CVPR2021/html/Chen_Wasserstein_Contrastive_Representation_Distillation_CVPR_2021_paper.html,conf/cvpr/00010G0HC21,other,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
CVPR,2021,2021,T-vMF Similarity for Regularizing Intra-Class Feature Distribution.,CVPR,Takumi Kobayashi 0001,10.1109/CVPR46437.2021.00655,https://openaccess.thecvf.com/content/CVPR2021/html/Kobayashi_T-vMF_Similarity_for_Regularizing_Intra-Class_Feature_Distribution_CVPR_2021_paper.html,conf/cvpr/000121,other,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
CVPR,2021,2021,Rotation Coordinate Descent for Fast Globally Optimal Rotation Averaging.,CVPR,Álvaro Parra 0001; Shin-Fang Ch&apos;ng; Tat-Jun Chin; Anders P. Eriksson; Ian Reid 0001,10.1109/CVPR46437.2021.00428,https://openaccess.thecvf.com/content/CVPR2021/html/Parra_Rotation_Coordinate_Descent_for_Fast_Globally_Optimal_Rotation_Averaging_CVPR_2021_paper.html,conf/cvpr/0001CCE021,other,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
CVPR,2021,2021,Topological Planning With Transformers for Vision-and-Language Navigation.,CVPR,Kevin Chen 0001; Junshen K. Chen; Jo Chuang; Marynel Vázquez; Silvio Savarese,10.1109/CVPR46437.2021.01112,https://openaccess.thecvf.com/content/CVPR2021/html/Chen_Topological_Planning_With_Transformers_for_Vision-and-Language_Navigation_CVPR_2021_paper.html,conf/cvpr/0001CCVS21,transformer,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
CVPR,2021,2021,Learning Dynamic Alignment via Meta-Filter for Few-Shot Learning.,CVPR,Chengming Xu 0001; Yanwei Fu 0001; Chen Liu 0030; Chengjie Wang; Jilin Li; Feiyue Huang; Li Zhang 0040; Xiangyang Xue 0001,10.1109/CVPR46437.2021.00514,https://openaccess.thecvf.com/content/CVPR2021/html/Xu_Learning_Dynamic_Alignment_via_Meta-Filter_for_Few-Shot_Learning_CVPR_2021_paper.html,conf/cvpr/0001FLWLH0X21,fewshot,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
CVPR,2021,2021,COMPLETER: Incomplete Multi-View Clustering via Contrastive Prediction.,CVPR,Yijie Lin 0001; Yuanbiao Gou; Zitao Liu 0001; Boyun Li; Jiancheng Lv 0001; Xi Peng 0001,10.1109/CVPR46437.2021.01102,https://openaccess.thecvf.com/content/CVPR2021/html/Lin_COMPLETER_Incomplete_Multi-View_Clustering_via_Contrastive_Prediction_CVPR_2021_paper.html,conf/cvpr/0001GLL0021,other,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
CVPR,2021,2021,FSDR: Frequency Space Domain Randomization for Domain Generalization.,CVPR,Jiaxing Huang 0001; Dayan Guan; Aoran Xiao; Shijian Lu,10.1109/CVPR46437.2021.00682,https://openaccess.thecvf.com/content/CVPR2021/html/Huang_FSDR_Frequency_Space_Domain_Randomization_for_Domain_Generalization_CVPR_2021_paper.html,conf/cvpr/0001GXL21,domain_adaptation,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
CVPR,2021,2021,Cross-View Regularization for Domain Adaptive Panoptic Segmentation.,CVPR,Jiaxing Huang 0001; Dayan Guan; Aoran Xiao; Shijian Lu,10.1109/CVPR46437.2021.01000,https://openaccess.thecvf.com/content/CVPR2021/html/Huang_Cross-View_Regularization_for_Domain_Adaptive_Panoptic_Segmentation_CVPR_2021_paper.html,conf/cvpr/0001GXL21a,segmentation,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CVPR,2021,2021,Learning Probabilistic Ordinal Embeddings for Uncertainty-Aware Regression.,CVPR,Wanhua Li 0001; Xiaoke Huang; Jiwen Lu; Jianjiang Feng; Jie Zhou 0001,10.1109/CVPR46437.2021.01368,https://openaccess.thecvf.com/content/CVPR2021/html/Li_Learning_Probabilistic_Ordinal_Embeddings_for_Uncertainty-Aware_Regression_CVPR_2021_paper.html,conf/cvpr/0001HLF021,other,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
CVPR,2021,2021,Towards Bridging Event Captioner and Sentence Localizer for Weakly Supervised Dense Event Captioning.,CVPR,Shaoxiang Chen 0001; Yu-Gang Jiang 0001,10.1109/CVPR46437.2021.00832,https://openaccess.thecvf.com/content/CVPR2021/html/Chen_Towards_Bridging_Event_Captioner_and_Sentence_Localizer_for_Weakly_Supervised_CVPR_2021_paper.html,conf/cvpr/0001J21,multimodal;semi_supervised,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0
