conference,year_target,year_dblp,title,venue,authors,doi,ee_url,dblp_key,categories,is_pretrain,is_self_supervised,is_segmentation,is_detection,is_classification,is_generation,is_reconstruction,is_registration,is_tracking,is_pose,is_video,is_three_d,is_multimodal,is_fewshot,is_semi_supervised,is_domain_adaptation,is_robustness,is_graph,is_rl,is_transformer,is_medical,is_autonomous_driving,is_nlp,is_other
ECCV,2022,2022,Map-Free Visual Relocalization: Metric Pose Relative to a Single Image.,ECCV,Eduardo Arnold; Jamie Wynn; Sara Vicente; Guillermo Garcia-Hernando; Áron Monszpart; Victor Prisacariu; Daniyar Turmukhambetov; Eric Brachmann,10.1007/978-3-031-19769-7_40,https://doi.org/10.1007/978-3-031-19769-7_40,conf/eccv/ArnoldWVGMPTB22,other,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
ECCV,2022,2022,3D Human Pose Estimation Using Möbius Graph Convolutional Networks.,ECCV,Niloofar Azizi; Horst Possegger; Emanuele Rodolà; Horst Bischof,10.1007/978-3-031-19769-7_10,https://doi.org/10.1007/978-3-031-19769-7_10,conf/eccv/AziziPRB22,pose;three_d;graph,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0
ECCV,2022,2022,LocalBins: Improving Depth Estimation by Learning Local Distributions.,ECCV,Shariq Farooq Bhat; Ibraheem Alhashim; Peter Wonka,10.1007/978-3-031-19769-7_28,https://doi.org/10.1007/978-3-031-19769-7_28,conf/eccv/BhatAW22,three_d,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
ECCV,2022,2022,Bilateral Normal Integration.,ECCV,Xu Cao; Hiroaki Santo; Boxin Shi; Fumio Okura; Yasuyuki Matsushita,10.1007/978-3-031-19769-7_32,https://doi.org/10.1007/978-3-031-19769-7_32,conf/eccv/CaoSSOM22,other,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
ECCV,2022,2022,AlignSDF: Pose-Aligned Signed Distance Fields for Hand-Object Reconstruction.,ECCV,Zerui Chen; Yana Hasson; Cordelia Schmid; Ivan Laptev,10.1007/978-3-031-19769-7_14,https://doi.org/10.1007/978-3-031-19769-7_14,conf/eccv/ChenHSL22,reconstruction,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ECCV,2022,2022,Cross-Attention of Disentangled Modalities for 3D Human Mesh Recovery with Transformers.,ECCV,Junhyeong Cho; Kim Youwang; Tae-Hyun Oh,10.1007/978-3-031-19769-7_20,https://doi.org/10.1007/978-3-031-19769-7_20,conf/eccv/ChoYO22,three_d;transformer,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
ECCV,2022,2022,Learning-Based Point Cloud Registration for 6D Object Pose Estimation in the Real World.,ECCV,Zheng Dang; Lizhou Wang; Yu Guo 0006; Mathieu Salzmann,10.1007/978-3-031-19769-7_2,https://doi.org/10.1007/978-3-031-19769-7_2,conf/eccv/DangWGS22,registration;pose;three_d,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
ECCV,2022,2022,SketchSampler: Sketch-Based 3D Reconstruction via View-Dependent Depth Sampling.,ECCV,Chenjian Gao; Qian Yu 0002; Lu Sheng; Yi-Zhe Song; Dong Xu 0001,10.1007/978-3-031-19769-7_27,https://doi.org/10.1007/978-3-031-19769-7_27,conf/eccv/GaoYSSX22,reconstruction;three_d,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
ECCV,2022,2022,GitNet: Geometric Prior-Based Transformation for Birds-Eye-View Segmentation.,ECCV,Shi Gong; Xiaoqing Ye; Xiao Tan 0001; Jingdong Wang 0001; Errui Ding; Yu Zhou 0025; Xiang Bai,10.1007/978-3-031-19769-7_23,https://doi.org/10.1007/978-3-031-19769-7_23,conf/eccv/GongYTWDZB22,segmentation,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ECCV,2022,2022,Self-supervised Human Mesh Recovery with Cross-Representation Alignment.,ECCV,Xuan Gong; Meng Zheng 0002; Benjamin Planche; Srikrishna Karanam; Terrence Chen; David S. Doermann; Ziyan Wu 0001,10.1007/978-3-031-19769-7_13,https://doi.org/10.1007/978-3-031-19769-7_13,conf/eccv/GongZPKCDW22,self_supervised,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
