conference,year_target,year_dblp,title,venue,authors,doi,ee_url,dblp_key,categories,is_pretrain,is_self_supervised,is_segmentation,is_detection,is_classification,is_generation,is_reconstruction,is_registration,is_tracking,is_pose,is_video,is_three_d,is_multimodal,is_fewshot,is_semi_supervised,is_domain_adaptation,is_robustness,is_graph,is_rl,is_transformer,is_medical,is_autonomous_driving,is_nlp,is_other
ICML,2021,2021,Accelerate CNNs from Three Dimensions: A Comprehensive Pruning Framework.,ICML,Wenxiao Wang 0001; Minghao Chen 0001; Shuai Zhao 0006; Long Chen 0016; Jinming Hu; Haifeng Liu 0001; Deng Cai 0001; Xiaofei He 0001; Wei Liu 0005,,http://proceedings.mlr.press/v139/wang21e.html,conf/icml/000100CHL00L21,other,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
ICML,2021,2021,Consensus Control for Decentralized Deep Learning.,ICML,Lingjing Kong 0001; Tao Lin 0004; Anastasia Koloskova; Martin Jaggi; Sebastian U. Stich,,http://proceedings.mlr.press/v139/kong21a.html,conf/icml/00010KJS21,other,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
ICML,2021,2021,Bayesian Structural Adaptation for Continual Learning.,ICML,Abhishek Kumar 0001; Sunabha Chatterjee; Piyush Rai,,http://proceedings.mlr.press/v139/kumar21a.html,conf/icml/0001CR21,other,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
ICML,2021,2021,Consistent Nonparametric Methods for Network Assisted Covariate Estimation.,ICML,Xueyu Mao 0001; Deepayan Chakrabarti; Purnamrita Sarkar,,http://proceedings.mlr.press/v139/mao21a.html,conf/icml/0001CS21,other,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
ICML,2021,2021,"Improved, Deterministic Smoothing for L1 Certified Robustness.",ICML,Alexander Levine 0001; Soheil Feizi,,http://proceedings.mlr.press/v139/levine21a.html,conf/icml/0001F21,robustness,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
ICML,2021,2021,Explanations for Monotonic Classifiers.,ICML,João Marques-Silva 0001; Thomas Gerspacher; Martin C. Cooper; Alexey Ignatiev; Nina Narodytska,,http://proceedings.mlr.press/v139/marques-silva21a.html,conf/icml/0001GCIN21,classification,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ICML,2021,2021,Diffusion Earth Mover&apos;s Distance and Distribution Embeddings.,ICML,Alexander Tong 0001; Guillaume Huguet; Amine Natik; Kincaid MacDonald; Manik Kuchroo; Ronald R. Coifman; Guy Wolf; Smita Krishnaswamy,,http://proceedings.mlr.press/v139/tong21a.html,conf/icml/0001HNMKCWK21,other,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
ICML,2021,2021,Adapting to Delays and Data in Adversarial Multi-Armed Bandits.,ICML,András György 0001; Pooria Joulani,,http://proceedings.mlr.press/v139/gyorgy21a.html,conf/icml/0001J21,other,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
ICML,2021,2021,PipeTransformer: Automated Elastic Pipelining for Distributed Training of Large-scale Models.,ICML,Chaoyang He 0001; Shen Li; Mahdi Soltanolkotabi; Salman Avestimehr,,http://proceedings.mlr.press/v139/he21a.html,conf/icml/0001LSA21,pretrain;transformer,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
ICML,2021,2021,Regularized Submodular Maximization at Scale.,ICML,Ehsan Kazemi 0001; Shervin Minaee; Moran Feldman; Amin Karbasi,,http://proceedings.mlr.press/v139/kazemi21a.html,conf/icml/0001MFK21,other,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
