conference,year_target,year_dblp,title,venue,authors,doi,ee_url,dblp_key,categories,is_pretrain,is_self_supervised,is_segmentation,is_detection,is_classification,is_generation,is_reconstruction,is_registration,is_tracking,is_pose,is_video,is_three_d,is_multimodal,is_fewshot,is_semi_supervised,is_domain_adaptation,is_robustness,is_graph,is_rl,is_transformer,is_medical,is_autonomous_driving,is_nlp,is_other
MICCAI,2021,2021,A Spatial Guided Self-supervised Clustering Network for Medical Image Segmentation.,MICCAI,Euijoon Ahn; Dagan Feng 0001; Jinman Kim,10.1007/978-3-030-87193-2_36,https://doi.org/10.1007/978-3-030-87193-2_36,conf/miccai/AhnFK21,self_supervised;segmentation;medical,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
MICCAI,2021,2021,Multi-frame Attention Network for Left Ventricle Segmentation in 3D Echocardiography.,MICCAI,Shawn S. Ahn; Kevinminh Ta; Stephanie Thorn; Jonathan Langdon; Albert J. Sinusas; James S. Duncan,10.1007/978-3-030-87193-2_33,https://doi.org/10.1007/978-3-030-87193-2_33,conf/miccai/AhnTTLSD21,segmentation;three_d,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
MICCAI,2021,2021,"Multi-task, Multi-domain Deep Segmentation with Shared Representations and Contrastive Regularization for Sparse Pediatric Datasets.",MICCAI,Arnaud Boutillon; Pierre-Henri Conze; Christelle Pons; Valérie Burdin; Bhushan Borotikar,10.1007/978-3-030-87193-2_23,https://doi.org/10.1007/978-3-030-87193-2_23,conf/miccai/BoutillonCPBB21,segmentation,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MICCAI,2021,2021,A Novel Hybrid Convolutional Neural Network for Accurate Organ Segmentation in 3D Head and Neck CT Images.,MICCAI,Zijie Chen; Cheng Li 0008; Junjun He; Jin Ye 0002; Diping Song; Shanshan Wang 0002; Lixu Gu; Yu Qiao 0001,10.1007/978-3-030-87193-2_54,https://doi.org/10.1007/978-3-030-87193-2_54,conf/miccai/ChenLHYSWGQ21,segmentation;generation;three_d,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
MICCAI,2021,2021,Learnable Oriented-Derivative Network for Polyp Segmentation.,MICCAI,Mengjun Cheng; Zishang Kong; Guoli Song; Yonghong Tian 0001; Yongsheng Liang 0001; Jie Chen 0001,10.1007/978-3-030-87193-2_68,https://doi.org/10.1007/978-3-030-87193-2_68,conf/miccai/ChengKSTLC21,segmentation,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MICCAI,2021,2021,Towards Efficient Human-Machine Collaboration: Real-Time Correction Effort Prediction for Ultrasound Data Acquisition.,MICCAI,Yukun Ding; Dewen Zeng; Mingqi Li; Hongwen Fei; Haiyun Yuan; Meiping Huang; Jian Zhuang; Yiyu Shi 0001,10.1007/978-3-030-87193-2_44,https://doi.org/10.1007/978-3-030-87193-2_44,conf/miccai/DingZLFYHZS21,medical,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
MICCAI,2021,2021,Hybrid Graph Convolutional Neural Networks for Landmark-Based Anatomical Segmentation.,MICCAI,Nicolás Gaggion; Lucas Mansilla; Diego H. Milone; Enzo Ferrante,10.1007/978-3-030-87193-2_57,https://doi.org/10.1007/978-3-030-87193-2_57,conf/miccai/GaggionMMF21,segmentation;graph,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
MICCAI,2021,2021,kCBAC-Net: Deeply Supervised Complete Bipartite Networks with Asymmetric Convolutions for Medical Image Segmentation.,MICCAI,Pengfei Gu; Hao Zheng 0006; Yizhe Zhang 0001; Chaoli Wang 0001; Danny Z. Chen,10.1007/978-3-030-87193-2_32,https://doi.org/10.1007/978-3-030-87193-2_32,conf/miccai/GuZZWC21,segmentation;medical,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
MICCAI,2021,2021,Unsupervised Network Learning for Cell Segmentation.,MICCAI,Liang Han; Zhaozheng Yin,10.1007/978-3-030-87193-2_27,https://doi.org/10.1007/978-3-030-87193-2_27,conf/miccai/HanY21,segmentation,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MICCAI,2021,2021,Point-Unet: A Context-Aware Point-Based Neural Network for Volumetric Segmentation.,MICCAI,Ngoc-Vuong Ho; Tan Nguyen; Gia-Han Diep; Ngan Le; Binh-Son Hua,10.1007/978-3-030-87193-2_61,https://doi.org/10.1007/978-3-030-87193-2_61,conf/miccai/HoNDLH21,segmentation,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
