conference,year_target,year_dblp,title,venue,authors,doi,ee_url,dblp_key,categories,is_pretrain,is_self_supervised,is_segmentation,is_detection,is_classification,is_generation,is_reconstruction,is_registration,is_tracking,is_pose,is_video,is_three_d,is_multimodal,is_fewshot,is_semi_supervised,is_domain_adaptation,is_robustness,is_graph,is_rl,is_transformer,is_medical,is_autonomous_driving,is_nlp,is_other
NeurIPS,2021,2021,Combinatorial Optimization for Panoptic Segmentation: A Fully Differentiable Approach.,NeurIPS,Ahmed Abbas; Paul Swoboda,,https://proceedings.neurips.cc/paper/2021/hash/83a368f54768f506b833130584455df4-Abstract.html,conf/nips/AbbasS21,segmentation,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NeurIPS,2021,2021,The staircase property: How hierarchical structure can guide deep learning.,NeurIPS,Emmanuel Abbe; Enric Boix-Adserà; Matthew S. Brennan; Guy Bresler; Dheeraj Nagaraj,,https://proceedings.neurips.cc/paper/2021/hash/e2db7186375992e729165726762cb4c1-Abstract.html,conf/nips/AbbeBBBN21,other,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
NeurIPS,2021,2021,On the Power of Differentiable Learning versus PAC and SQ Learning.,NeurIPS,Emmanuel Abbe; Pritish Kamath; Eran Malach; Colin Sandon; Nathan Srebro,,https://proceedings.neurips.cc/paper/2021/hash/cc225865b743ecc91c4743259813f604-Abstract.html,conf/nips/AbbeKMSS21,rl,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
NeurIPS,2021,2021,Revisit Multimodal Meta-Learning through the Lens of Multi-Task Learning.,NeurIPS,Milad Abdollahzadeh; Touba Malekzadeh; Ngai-Man Cheung,,https://proceedings.neurips.cc/paper/2021/hash/7b3403f79b478699224bb449509694cf-Abstract.html,conf/nips/AbdollahzadehMC21,multimodal;fewshot,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
NeurIPS,2021,2021,On the Expressivity of Markov Reward.,NeurIPS,David Abel; Will Dabney; Anna Harutyunyan; Mark K. Ho; Michael L. Littman; Doina Precup; Satinder Singh 0001,,https://proceedings.neurips.cc/paper/2021/hash/4079016d940210b4ae9ae7d41c4a2065-Abstract.html,conf/nips/AbelDHHLPS21,other,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
NeurIPS,2021,2021,An Uncertainty Principle is a Price of Privacy-Preserving Microdata.,NeurIPS,John M. Abowd; Robert Ashmead; Ryan Cumings-Menon; Simson L. Garfinkel; Daniel Kifer; Philip Leclerc; William Sexton; Ashley Simpson; Christine Task; Pavel Zhuravlev,,https://proceedings.neurips.cc/paper/2021/hash/639d79cc857a6c76c2723b7e014fccb0-Abstract.html,conf/nips/AbowdACGKLSSTZ21,robustness,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
NeurIPS,2021,2021,Training Neural Networks is ER-complete.,NeurIPS,Mikkel Abrahamsen; Linda Kleist; Tillmann Miltzow,,https://proceedings.neurips.cc/paper/2021/hash/9813b270ed0288e7c0388f0fd4ec68f5-Abstract.html,conf/nips/AbrahamsenKM21,other,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
NeurIPS,2021,2021,Implicit SVD for Graph Representation Learning.,NeurIPS,Sami Abu-El-Haija; Hesham Mostafa; Marcel Nassar; Valentino Crespi; Greg Ver Steeg; Aram Galstyan,,https://proceedings.neurips.cc/paper/2021/hash/46fc943ecd56441056a560ba37d0b9e8-Abstract.html,conf/nips/Abu-El-HaijaMNC21,self_supervised,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NeurIPS,2021,2021,Distributed Estimation with Multiple Samples per User: Sharp Rates and Phase Transition.,NeurIPS,Jayadev Acharya; Clément L. Canonne; Yuhan Liu; Ziteng Sun; Himanshu Tyagi,,https://proceedings.neurips.cc/paper/2021/hash/9d740bd0f36aaa312c8d504e28c42163-Abstract.html,conf/nips/AcharyaCLST21,other,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
NeurIPS,2021,2021,Information-constrained optimization: can adaptive processing of gradients help?,NeurIPS,Jayadev Acharya; Clément L. Canonne; Prathamesh Mayekar; Himanshu Tyagi,,https://proceedings.neurips.cc/paper/2021/hash/398475c83b47075e8897a083e97eb9f0-Abstract.html,conf/nips/AcharyaCMT21,other,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
NeurIPS,2021,2021,Optimal Rates for Nonparametric Density Estimation under Communication Constraints.,NeurIPS,Jayadev Acharya; Clément L. Canonne; Aditya Vikram Singh; Himanshu Tyagi,,https://proceedings.neurips.cc/paper/2021/hash/e1021d43911ca2c1845910d84f40aeae-Abstract.html,conf/nips/AcharyaCST21,other,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
NeurIPS,2021,2021,Personalized Federated Learning With Gaussian Processes.,NeurIPS,Idan Achituve; Aviv Shamsian; Aviv Navon; Gal Chechik; Ethan Fetaya,,https://proceedings.neurips.cc/paper/2021/hash/46d0671dd4117ea366031f87f3aa0093-Abstract.html,conf/nips/AchituveSNCF21,other,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
NeurIPS,2021,2021,Towards Optimal Strategies for Training Self-Driving Perception Models in Simulation.,NeurIPS,David Acuna; Jonah Philion; Sanja Fidler,,https://proceedings.neurips.cc/paper/2021/hash/0d5bd023a3ee11c7abca5b42a93c4866-Abstract.html,conf/nips/AcunaPF21,autonomous_driving,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
NeurIPS,2021,2021,Dual Parameterization of Sparse Variational Gaussian Processes.,NeurIPS,Vincent Adam; Paul E. Chang; Mohammad Emtiyaz Khan; Arno Solin,,https://proceedings.neurips.cc/paper/2021/hash/5fcc629edc0cfa360016263112fe8058-Abstract.html,conf/nips/AdamCKS21,other,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
NeurIPS,2021,2021,Identification of Partially Observed Linear Causal Models: Graphical Conditions for the Non-Gaussian and Heterogeneous Cases.,NeurIPS,Jeffrey Adams; Niels Hansen; Kun Zhang 0001,,https://proceedings.neurips.cc/paper/2021/hash/c0f6fb5d3a389de216345e490469145e-Abstract.html,conf/nips/AdamsHZ21,classification,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NeurIPS,2021,2021,Collaborative Causal Discovery with Atomic Interventions.,NeurIPS,Raghavendra Addanki; Shiva Prasad Kasiviswanathan,,https://proceedings.neurips.cc/paper/2021/hash/6a1a681b16826ba2e48fedb229db3b65-Abstract.html,conf/nips/AddankiK21,other,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
NeurIPS,2021,2021,Faster Neural Network Training with Approximate Tensor Operations.,NeurIPS,Menachem Adelman; Kfir Y. Levy; Ido Hakimi; Mark Silberstein,,https://proceedings.neurips.cc/paper/2021/hash/eaa1da31f7991743d18dadcf5fd1336f-Abstract.html,conf/nips/AdelmanLHS21,other,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
NeurIPS,2021,2021,Privately Learning Mixtures of Axis-Aligned Gaussians.,NeurIPS,Ishaq Aden-Ali; Hassan Ashtiani; Christopher Liaw,,https://proceedings.neurips.cc/paper/2021/hash/201d7288b4c18a679e48b31c72c30ded-Abstract.html,conf/nips/Aden-AliAL21,other,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
NeurIPS,2021,2021,Unifying Width-Reduced Methods for Quasi-Self-Concordant Optimization.,NeurIPS,Deeksha Adil; Brian Bullins; Sushant Sachdeva,,https://proceedings.neurips.cc/paper/2021/hash/9f9e8cba3700df6a947a8cf91035ab84-Abstract.html,conf/nips/AdilBS21,other,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
NeurIPS,2021,2021,PerSim: Data-Efficient Offline Reinforcement Learning with Heterogeneous Agents via Personalized Simulators.,NeurIPS,Anish Agarwal; Abdullah Alomar; Varkey Alumootil; Devavrat Shah; Dennis Shen; Zhi Xu 0001; Cindy Yang,,https://proceedings.neurips.cc/paper/2021/hash/9a3f263a5e5f63006098a05cd7491997-Abstract.html,conf/nips/AgarwalAASSXY21,rl,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
NeurIPS,2021,2021,The Skellam Mechanism for Differentially Private Federated Learning.,NeurIPS,Naman Agarwal; Peter Kairouz; Ziyu Liu 0002,,https://proceedings.neurips.cc/paper/2021/hash/285baacbdf8fda1de94b19282acd23e2-Abstract.html,conf/nips/AgarwalKL21,other,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
NeurIPS,2021,2021,Neural Additive Models: Interpretable Machine Learning with Neural Nets.,NeurIPS,Rishabh Agarwal; Levi Melnick; Nicholas Frosst; Xuezhou Zhang; Benjamin J. Lengerich; Rich Caruana; Geoffrey E. Hinton,,https://proceedings.neurips.cc/paper/2021/hash/251bd0442dfcc53b5a761e050f8022b8-Abstract.html,conf/nips/AgarwalMFZLCH21,other,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
NeurIPS,2021,2021,Deep Reinforcement Learning at the Edge of the Statistical Precipice.,NeurIPS,Rishabh Agarwal; Max Schwarzer; Pablo Samuel Castro; Aaron C. Courville; Marc G. Bellemare,,https://proceedings.neurips.cc/paper/2021/hash/f514cec81cb148559cf475e7426eed5e-Abstract.html,conf/nips/AgarwalSCCB21,rl,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
NeurIPS,2021,2021,On sensitivity of meta-learning to support data.,NeurIPS,Mayank Agarwal; Mikhail Yurochkin; Yuekai Sun,,https://proceedings.neurips.cc/paper/2021/hash/ab73f542b6d60c4de151800b8abc0a6c-Abstract.html,conf/nips/AgarwalYS21,fewshot,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
NeurIPS,2021,2021,Dynamic Causal Bayesian Optimization.,NeurIPS,Virginia Aglietti; Neil Dhir; Javier González 0002; Theodoros Damoulas,,https://proceedings.neurips.cc/paper/2021/hash/577bcc914f9e55d5e4e4f82f9f00e7d4-Abstract.html,conf/nips/AgliettiDGD21,other,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
NeurIPS,2021,2021,Amortized Variational Inference for Simple Hierarchical Models.,NeurIPS,Abhinav Agrawal 0001; Justin Domke,,https://proceedings.neurips.cc/paper/2021/hash/b28d7c6b6aec04f5525b453411ff4336-Abstract.html,conf/nips/AgrawalD21,other,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
NeurIPS,2021,2021,Optimal Best-Arm Identification Methods for Tail-Risk Measures.,NeurIPS,Shubhada Agrawal; Wouter M. Koolen; Sandeep Juneja 0001,,https://proceedings.neurips.cc/paper/2021/hash/d69c7ebb6a253532b266151eac6591af-Abstract.html,conf/nips/AgrawalKJ21,classification,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NeurIPS,2021,2021,Efficient constrained sampling via the mirror-Langevin algorithm.,NeurIPS,Kwangjun Ahn; Sinho Chewi,,https://proceedings.neurips.cc/paper/2021/hash/ef1e491a766ce3127556063d49bc2f98-Abstract.html,conf/nips/AhnC21,other,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
NeurIPS,2021,2021,Invariance Principle Meets Information Bottleneck for Out-of-Distribution Generalization.,NeurIPS,Kartik Ahuja; Ethan Caballero; Dinghuai Zhang; Jean-Christophe Gagnon-Audet; Yoshua Bengio; Ioannis Mitliagkas; Irina Rish,,https://proceedings.neurips.cc/paper/2021/hash/1c336b8080f82bcc2cd2499b4c57261d-Abstract.html,conf/nips/AhujaCZGBMR21,robustness,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
NeurIPS,2021,2021,ByPE-VAE: Bayesian Pseudocoresets Exemplar VAE.,NeurIPS,Qingzhong Ai; Lirong He; Shiyu Liu; Zenglin Xu,,https://proceedings.neurips.cc/paper/2021/hash/2e9f978b222a956ba6bdf427efbd9ab3-Abstract.html,conf/nips/AiHLX21,other,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
